id_entity;id_user_skill;id_curator;id_paper;Title;Body;Authors;Training material;LocationPath;ImagePath
3;3;2;;DIPimage;DIPimage is a MATLAB toolbox for scientific image processing and analysis build on the DIPlib image library. It is a tool for teaching and research in image processing. Most operations are independent of dimensionality, and are defined for any data type that MATLAB can store. Many functions are available through a GUI, which makes them more accessible to novices. The interactive image display windows, to which images can be automatically displayed after each operation, provide great insight into the image data.<br />DIPlib is a platform independent scientific image processing library written in C. It consists of a large number of functions for processing and analysing multi-dimensional image data. The library provides functions for performing transforms, filter operations, object generation, local structure analysis, object measurements and statistical analysis of images. Key design features include ample support for different data types (binary, integer, floating point, complex) and dimensionalities.;;;;
1513;;0;;Difference of Gaussians;;;;http://tech.knime.org/community/image-processing;
1544;;0;;Xuggler Slider;;;;http://icy.bioimageanalysis.org/plugin/Xuggler Slider;
1604;;0;;Volocity Acquisition;;;;http://www.perkinelmer.com/pages/020/cellularimaging/products/volocityacquisition.xhtml;
1775;;0;;PhagoTracker;;;;http://www.weizmann.ac.il/vet/IC/software/wis-phagotracker;
1779;;0;;DensitoQuant;;;;http://www.3dhistech.com/DensitoQuant_module;
1780;;0;;NuclearQuant;;;;http://www.3dhistech.com/nuclearquant_module;
1790;;0;;Panoramic Viewer;;;;http://www.3dhistech.com/pannoramic_viewer;
1791;;0;;NeuroMath;;;;http://www.weizmann.ac.il/vet/IC/software/wis-neuromath;
1800;;0;;HistoQuant;;;;http://www.3dhistech.com/HistoQuant_module;
1802;;0;;MembraneQuant;;;;http://www.3dhistech.com/membranequant_module;
1916;;0;;Volocity Restoration;;;;http://www.perkinelmer.com/pages/020/cellularimaging/products/volocityrestoration.xhtml;
2110;;4;;Introduction to DIPimage;The goal of this laboratory work is to get hands-on experience with image processing. To do so, you will have to learn the image-processing environment: MATLAB and the DIPimage toolbox for multi-dimensional image processing. To facilitate a quick start, there will not be an in-depth explanation of all the features in the software. We will briefly present the things you need at this moment. We have marked the sections that explain something about the environment with the?symbol, so that they stand out. Let us start with a short introduction to the MATLAB environment.;;;ftp://qiftp.tudelft.nl/DIPimage/docs/Introduction_to_DIPimage.pdf;
2112;;4;;Image Analysis;The goal of this laboratory course is to get hands-on experience with image processing. To do so, you will have to learn the image-processing environment: MATLAB and the DIPimage toolbox for scientific image processing. To facilitate a quick start, there will not be an in-depth explanation of all the features in the software. We will briefly present the things you need at this moment. We have marked the sections that explain something about the environment with the ? symbol, so that they stand out.
First we want to stress one point: Try to understand what is happening, and do not be satisfied with just any answer you obtain! It is by far better that you seriously wor on half of the exercises and learn some image processing, than that you go through all of them, but understand nothing. This is a waste of your time.;;;http://www.cb.uu.se/%7Ecris/Documents/ipcourse.pdf;
2103;;79;;Image Analysis for Biology;Thourough introduction to image analysis using matlab
Caltech, MBL Physiology Course 2008;;;http://www.rpgroup.caltech.edu/courses/PBoC%20ASTAR/files_2011/Matlab/Image%20Analysis%20with%20Matlab.pdf;
767;;16;;Java;TEST;;;http://www.oracle.com/technetwork/java/index.html;
2113;;0;;C++;;;;http://www.stroustrup.com/C++.html;
2114;;0;;ImageJ Macro Language;;;;http://imagej.net/developer/macro/macros.html;
2122;;0;;Jython;Jython is an implementation of the Python programming language written in Java.
Jython is supported by the
FIJI scripting editor and can thus be used to write ImageJ Macros (see http://fiji.sc/wiki/index.php/Jython_Scripting).;;;http://www.jython.org/;
2108;;0;;R;;;;http://cran.r-project.org/;
623;;16;;Python;The Python programming language;;;http://www.python.org/;
1447;;0;;Annotation;;;;http://icy.bioimageanalysis.org/plugin/Annotation;
1453;;0;;ApplyThreshold;;;;http://www.cellprofiler.org/CPmanual/ApplyThreshold.html;
1477;;0;;Adaptive Thresholding;;;;http://www.bioconductor.org/packages/release/bioc/manuals/EBImage/man/EBImage.pdf;
1577;;0;;Auto Threshold;;;;http://fiji.sc/Auto_Threshold;
1588;;0;;Active Cells SDK;;;;http://icy.bioimageanalysis.org/plugin/Active_Cells_SDK;
1611;;0;;Align RGB planes;;;;http://fiji.sc/Align_RGB_planes;
1613;;0;;Anisotropic Diffusion 2D;;;;http://fiji.sc/Anisotropic_Diffusion_2D;
1623;;0;;Average Filter;;;;http://tech.knime.org/community/image-processing;
1628;;0;;Auto Crop;;;;http://tech.knime.org/community/image-processing;
1631;;0;;Align Image;;;;http://tech.knime.org/community/image-processing;
1641;;0;;Anisotropic Diffusion;;;;http://tech.knime.org/community/image-processing;
1660;;0;;Align Image by line ROI;;;;http://fiji.sc/Align_Image_by_line_ROI;
1662;;0;;Active Cells Tracker;;;;http://icy.bioimageanalysis.org/plugin/Active_Cells_Tracker;
1667;;0;;Affine transformation software;;;;http://bigwww.epfl.ch/thevenaz/affine/;
1670;;0;;Angle Helper;;;;http://icy.bioimageanalysis.org/plugin/Angle_Helper;
1676;;0;;Animation 3D;;;;http://icy.bioimageanalysis.org/plugin/Animation_3D;
