id_software;id_entity;id_type;License
1;3;;
2;1436;;
3;2098;;
4;2109;;
5;2116;;
6;2123;;
7;2263;;
8;2264;;
9;2265;;
10;2266;;
11;2267;;
12;2268;;
13;2269;;
14;2270;;
15;2271;;
16;2272;;
17;2273;;
18;2274;;
19;2275;;
20;2276;;
21;2277;;
22;2278;;
23;2279;;
24;2291;;
25;2294;;
26;2296;;
27;2297;;
28;2298;;
29;2300;;
30;2302;;
31;2303;;
32;2306;;
33;2307;;
34;2308;;
35;2314;;
36;2317;;
37;2318;;
38;2319;;
39;2320;;
40;2321;;
41;2322;;
42;2323;;
43;2324;;
44;2325;;
45;2326;;
46;2327;;
47;2328;;
48;2329;;
49;2330;;
50;2331;;
51;2332;;
52;2333;;
53;2334;;
54;2335;;
55;2344;;
56;2345;;
57;2368;;
58;2420;;
59;2424;;
60;2443;;
61;2467;;
62;2518;;
63;2530;;
64;2552;;
65;2561;;
66;2564;;
67;2583;;
68;2605;;
69;2608;;
70;2609;;
71;2627;;
72;2640;;
73;2641;;
74;2642;;
75;2643;;
76;2645;;
77;2650;;
78;2657;;
79;2660;;
80;2663;;
81;2669;;
82;2670;;
83;2672;;
84;2673;;
85;2675;;
86;2679;;
87;2688;;
88;2694;;
89;2696;;
90;2703;;
91;2705;;
92;2709;;
93;2718;;
94;2719;;
95;2720;;
96;2721;;
97;2722;;
